code,use,last,first,middle(s),last,suffix,nick,note,pos,hf,hi,wt,s/c,bm,bd,by,tob,sob,cob,dm,dd,dy,tod,sod,cod
auril001,Larry,Aurie,Harry,Lawrence,Aurie,,Little Dempsey,,R,5,6,148,R,2,8,1905,Sudbury,ON,Canada,12,11,1952,Detroit,MI,USA
avers001,Sean,Avery,,,,,,,C,5,10,195,L,4,10,1980,North York,ON,Canada,,,,,,
awred001,Don,Awrey,Donald,William,Awrey,,Bugsy/Elbows,,D,6,0,175,L,7,18,1943,Kitchener,ON,Canada,,,,,,
axelp001,P.J.,Axelsson,Anders,Per-Johan,Axelsson,,Pebben,,L,6,1,175,L,2,26,1975,Kungalv,,Sweden,,,,,,
ayrev001,Vern,Ayres,Thomas,Vernon,Ayres,,,,D,6,2,220,L,4,27,1909,Toronto,ON,Canada,2,18,1968,Scarborough,ON,Canada
babap001,Pete,Babando,Peter,Joseph,Babando,,,,L,5,9,187,L,5,10,1925,South Porcupine,ON,Canada,,,,,,
babas001,Sergei,Babariko,,,,,,,G,,,,,,,,,,,,,,,,
babca001,Anton,Babchuk,,,,,,,D,6,5,212,R,5,6,1984,Kiev,,Ukraine,,,,,,
babcb001,Bobby,Babcock,Robert,,Babcock,,,,D,6,1,222,L,8,3,1968,Agincourt,ON,Canada,,,,,,
babey001,Yuri,Babenko,,,,,,,C,6,1,200,L,1,2,1978,Penza,,Russia,,,,,,
babew001,Warren,Babe,Warren,,Babe,,,,L,6,2,190,L,9,7,1968,Medicine Hat,AB,Canada,,,,,,
babim001,Mitch,Babin,Mitchell,,Babin,,,,C,6,2,195,L,11,1,1954,Kapuskasing,ON,Canada,,,,,,
